"Sector","Description","DTEMP","DPREC","DREHU","DMMAT90P","DMMAT10P","DMMIT90P","DMMIT10P","SPIDry","SPIWet","WindyDays"
"LiveAnimals","AVG",-0.0194192996754841,0.0120515233705886,-0.0831619781239462,-0.938330012909367,-0.0177633313223045,0.372628061022283,0.00712294080245084,0.287239223190817,-0.219609223492535,0.128379564677619
"LiveAnimals","MAX",0.0936511604875814,0.0129076381063205,-0.0820751570690575,-0.867679424116856,-0.016521842853124,0.779656319537544,0.00843848050508458,0.307679514411117,-0.218484795938311,0.129753618134396
"LiveAnimals","MIN",-0.0410477445806952,0.0117263556142941,-0.0863743523165325,-1.44352257518433,-0.023873418671134,0.314302631114212,-0.000710114385440696,0.281288624565083,-0.225016062265119,0.127514448736083
"PrimaryCrops","AVG",1.27194908867946,0.0462384881093551,-0.013977234799578,-2.09569532126101,0.0825661963486002,-0.286237042365734,0.0187752419111031,0.00964339425026205,-0.147088014654675,-0.179932220611842
"PrimaryCrops","MAX",1.52962635944938,0.0465472400606496,-0.013490568045112,-1.98739967541488,0.0937271626203087,-0.209534147961161,0.0199900125751574,0.0103707444147478,-0.138388866263981,-0.17330783292453
"PrimaryCrops","MIN",1.21797249736153,0.0460277838871057,-0.0163696843511555,-2.66158911671836,0.0799583297756337,-0.291066086322606,0.0123594877005883,0.0037398647717713,-0.184740543613944,-0.213602949825134
"PrimaryLivestock","AVG",-0.356828525660982,-0.000799268670827254,-0.0175634558238681,-0.644042796431199,0.00613538511307228,-0.190441307568369,0.00148237947639607,0.152095290296499,0.124300857195549,-0.2244334951809
"PrimaryLivestock","MAX",-0.34575532085472,-0.000556375878963189,-0.0169643104385113,-0.618310197496843,0.0073585058369828,-0.183294209169711,0.00175731402490871,0.165790326559585,0.130984570628051,-0.218966960712452
"PrimaryLivestock","MIN",-0.361148314512088,-0.00180346790931985,-0.020462351759341,-0.760711821223123,0.00589675129841347,-0.228404389648789,0.00148237947639607,0.148723070622859,0.122561966332029,-0.250355113728512
"ProcessedCrops","AVG",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedCrops","MAX",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedCrops","MIN",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedLivestock","AVG",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"ProcessedLivestock","MAX",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"ProcessedLivestock","MIN",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"Coal","AVG",-0.23676709286772,-0.00510580433745072,-0.295166476394086,0.944503916507829,-0.0174469015922953,0.102688840713673,-0.13128545699859,0.358562361605634,0.200281034807628,-0.241674045813033
"Coal","MAX",0.00202808001472819,0.00464011514397492,-0.291815302327997,1.54694076747203,-0.0163391232719711,0.112518365431032,-0.124900407363708,0.419810685587076,0.343137106596402,-0.183655141103002
"Coal","MIN",-0.290725533581942,-0.00711058279651675,-0.300389640523806,0.815185017972203,-0.0246496451085678,0.0223764643401184,-0.153344225621856,0.343931293520511,0.160380098493194,-0.251310382468555
"Gas","AVG",-0.286219881003957,-0.0790725030959541,-0.0612390894786145,-0.434226200539104,0.100255027150388,0.891347080062975,-0.0396236794938927,-0.12215502540586,0.357442259815214,-0.0538645654443414
"Gas","MAX",-0.099876523822651,-0.0787441214845691,-0.0612390894786145,-0.405905260311194,0.10496097504281,1.42359984341619,-0.0368828266568123,-0.117267962018588,0.433897228826985,-0.0433961494079887
"Gas","MIN",-0.329383521801534,-0.0794996498656332,-0.0617285024805578,-0.689126876809866,0.0984534086234592,0.775360980164504,-0.050116656007157,-0.125733336786286,0.333709060075118,-0.0576889464243653
"Hydro","AVG",-0.841911610722881,0.66810513542477,-0.0545159592587314,-1.83811775159446,0.0697940247961965,0.237899071029768,-0.00434545164621179,0.210561881867542,-2.13862849179737,1.82747441496386
"Hydro","MAX",-0.820538827128668,0.675323382494874,-0.0513504444504178,-1.78146945201417,0.0710807943057707,0.282073922906695,-0.00219116580735837,0.219087219490855,-2.08376212256821,1.84179689574548
"Hydro","MIN",-0.863583845829665,0.659138775717481,-0.0572228425086336,-1.89093499718951,0.0682009291746389,0.18933248336792,-0.00616917909846694,0.200105310347094,-2.18331493311953,1.80763687160576
"Nuclear","AVG",1.44762185762155,-0.005924721386462,-0.220641175447521,-0.0623359687474146,0.0043026343286503,-2.11556798522841,0.0731696780577015,0.322543219547443,-0.989266989471856,0.283143273087833
"Nuclear","MAX",1.69048037699422,0.00103921028829106,-0.21706830317109,0.657721169124849,0.0045848283727211,-1.9669233756262,0.0793559211347122,0.373291495826353,-0.971896010354065,0.312451546381826
"Nuclear","MIN",1.37373456386813,-0.00721739028776438,-0.236767233394783,-0.191816903746749,0.00388307965514756,-2.84448029786169,0.0718418981975463,0.309051986247918,-1.04765715832192,0.271106650639487
"Oil","AVG",0.0131606431325197,-0.00252167735955958,-0.141810699851092,0.474817426121491,0.114709952262094,-0.294591799117544,-0.0482097231359319,-0.458434752848324,-0.102089544606381,-0.231633580783324
"Oil","MAX",0.249864094377871,-0.00112715955722307,-0.140232859976291,0.788121729136601,0.121838832036291,-0.283879182095657,-0.0457352551188295,-0.451577689386964,-0.095982023564136,-0.224962514060702
"Oil","MIN",-0.0339045138376246,-0.00265165060132628,-0.146088646026982,0.408352443734184,0.111907426525751,-0.349160669960328,-0.057615755151707,-0.482315475771598,-0.1030302301929,-0.257046534972956
"Other","AVG",-1.69945387734793,-0.00628262049145056,-0.24820560782411,0.556813705422311,-0.033560569908208,-0.144152330016457,-0.021942885421601,0.765959191623104,2.89328258068242,-0.215820476618557
"Other","MAX",-1.66336740928242,-0.00591992428751226,-0.246084954346439,0.733018727806019,-0.0333845281005192,-0.132368961817278,-0.0197318007679468,0.810231720520712,2.98856655455404,-0.208158549385783
"Other","MIN",-1.83254326114585,-0.00692530073229936,-0.254395585327492,0.520114096221396,-0.0339997057935948,-0.209331038709513,-0.0224058749829346,0.753017060003104,2.86391720153906,-0.242311025964328
"Solar","AVG",7.70126329430593,-0.132658251366413,-0.394571058513294,-1.71853651909806,-0.112566268010956,-1.47325015837124,-0.258724127001193,1.40683800057738,0.0442047594006865,-1.01102955307168
"Solar","MAX",8.08721014087766,-0.131556194483659,-0.3920800741076,-1.69277627322671,-0.109776094811639,-1.43569313420191,-0.254925709044178,1.41838744338922,0.0576907339420557,-1.00890465702429
"Solar","MIN",7.51106541008029,-0.134639828616103,-0.398898249532238,-1.7709613740848,-0.118421549285198,-1.54796206907117,-0.266736587852911,1.40151157471573,0.0376383541912305,-1.01128665612429
"Wind","AVG",5.52904749115165,-0.0433242070995714,-0.577667627076982,1.19294430678455,-0.192810946429757,-2.46025682889507,-0.0781365678575964,-0.611366538806319,-0.188878169877416,-0.24404476174608
"Wind","MAX",6.06061879285665,-0.0401472604434989,-0.572010656841895,1.60967422229463,-0.187867114629382,-2.34289715474271,-0.0754905072902326,-0.604221546706366,-0.18206616334944,-0.227109613635798
"Wind","MIN",5.32119908740069,-0.0442983198217859,-0.592853542094506,1.05791435175965,-0.205312035434277,-2.8096350956603,-0.0842281720811904,-0.626753142596019,-0.200285600022857,-0.290138358392936
